ATENDIMENTO_BAIRRO_NOME,EQUIPAMENTO_URBANO_NOME,FLAG_EQUIPAMENTO_URBANO,FLAG_FLAGRANTE,LOGRADOURO_NOME_CURITIBA,NATUREZA1_DEFESA_CIVIL,NATUREZA1_DESCRICAO,SUBCATEGORIA1_DESCRICAO,NATUREZA2_DEFESA_CIVIL,NATUREZA2_DESCRICAO,SUBCATEGORIA2_DESCRICAO,NATUREZA3_DEFESA_CIVIL,NATUREZA3_DESCRICAO,SUBCATEGORIA3_DESCRICAO,NATUREZA4_DEFESA_CIVIL,NATUREZA4_DESCRICAO,SUBCATEGORIA4_DESCRICAO,NATUREZA5_DEFESA_CIVIL,NATUREZA5_DESCRICAO,SUBCATEGORIA5_DESCRICAO,OCORRENCIA_ANO,OCORRENCIA_CODIGO,OCORRENCIA_DATA,OCORRENCIA_DIA_SEMANA,OCORRENCIA_HORA,OCORRENCIA_MES,OPERACAO_DESCRICAO,ORIGEM_CHAMADO_DESCRICAO,REGIONAL_FATO_NOME,SECRETARIA_NOME
Centro,,f,NÃO,"Rua Francisco Torres, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00011/2025,01/01/2025,Quarta,00:30:00,1,,IMEDIATA,Matriz,
Cajuru,,f,NÃO,"Rua Amador Bueno, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Semáforos,,,,,,,,,,,,,2025,00014/2025,01/01/2025,Quarta,00:42:00,1,,REDE SOCIAL,Cajuru,
Santo Inácio,,f,NÃO,"Alameda Ecológica Burle Marx, Curitiba, PR",0,Roubo,Transeunte,,,,,,,,,,,,,2025,00001/2025,01/01/2025,Quarta,00:57:00,1,,153,Santa Felicidade,
São Francisco,,f,NÃO,"Rua Treze de Maio, Curitiba, PR",0,Furto,Veículo,,,,,,,,,,,,,2025,00015/2025,01/01/2025,Quarta,00:58:00,1,,153,Matriz,
Fazendinha,,f,NÃO,"Rua Maximiliano Boscardin, Curitiba, PR",0,Ameaça,,,,,,,,,,,,,,2025,00004/2025,01/01/2025,Quarta,01:05:00,1,,153,Portão,
Rebouças,,f,NÃO,"Avenida Iguaçu, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Semáforos,,,,,,,,,,,,,2025,00008/2025,01/01/2025,Quarta,01:15:00,1,,REDE SOCIAL,Matriz,
Uberaba,,f,NÃO,"Rua Zulmira Bacila, Curitiba, PR",0,Lesão Corporal,Por arma branca,,,,,,,,,,,,,2025,00012/2025,01/01/2025,Quarta,01:21:00,1,,153,Cajuru,
Santo Inácio,,f,NÃO,"Alameda Ecológica Burle Marx, Curitiba, PR",0,Apoio,Apoio ao cidadão - ORIENTAÇÃO,,,,,,,,,,,,,2025,00018/2025,01/01/2025,Quarta,01:30:00,1,,IMEDIATA,Santa Felicidade,
Mercês,,f,NÃO,"Rua Brigadeiro Franco, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00016/2025,01/01/2025,Quarta,01:32:00,1,,153,Matriz,
Jardim Botânico,,f,NÃO,"Embarque Ferroviário, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Elétrica,,,,,,,,,,,,,2025,00017/2025,01/01/2025,Quarta,01:43:00,1,,153,Matriz,
